,E_lowest,E_highest,electronegativity,NUnfilled,NValance,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Atomic_radius,Van der waals radius,Atomic mass
Po,-16.237,-8.211,2.0,2,30,0,10,0,14,2,4,0,2,1.9,1.97,210.0
At,-18.3065,-9.4533,2.2,1,31,0,10,0,14,1,5,0,2,no data,2.02,210.0
Rn,-20.3133,-10.7036,2.2,0,32,0,10,0,14,0,6,0,2,no data,2.2,220.0
Fr,-26.5529,0.0,0.7,1,1,0,0,0,0,0,0,1,1,no data,3.48,223.0
Ra,-32.6795,0.0,0.9,0,2,0,0,0,0,0,0,0,2,2.15,2.83,226.0
Ac,-23.8182,0.0,1.1,9,3,9,1,0,0,0,0,0,2,1.95,2.47,227.0
Th,-26.7379,0.0,1.3,8,4,8,2,0,0,0,0,0,2,1.8,2.45,232.03806
Pa,-25.4127,-4.7511,1.5,21,5,9,1,12,2,0,0,0,2,1.8,2.1,231.03588
U,-26.0971,-4.8028,1.38,20,6,9,1,11,3,0,0,0,2,1.75,2.41,238.02891
Np,-26.7202,-4.849,1.36,19,7,9,1,10,4,0,0,0,2,1.75,2.39,237.0
Pu,-24.9134,0.0,1.28,8,8,0,0,8,6,0,0,0,2,1.75,2.43,244.0
Am,-25.4072,0.0,1.3,7,9,0,0,7,7,0,0,0,2,1.75,2.44,243.0
Cm,-28.4033,-4.9811,1.3,16,10,9,1,7,7,0,0,0,2,no data,2.45,247.0
Bk,-29.3815,-5.0205,1.3,5,11,0,0,5,9,0,0,0,2,no data,2.44,247.0
Cf,-29.3815,-5.0613,1.3,4,12,0,0,4,10,0,0,0,2,no data,2.45,251.0
Es,-29.8427,-5.1007,1.3,3,13,0,0,3,11,0,0,0,2,no data,2.45,252.0
Fm,-30.289,-5.1389,1.3,2,14,0,0,2,12,0,0,0,2,no data,2.45,257.0
